"requirement_id","source_authority","planned_stage","requirement_summary","design_element","implementation_file_or_symbol","verification","evidence","status","residual_gap"
"ASH-FR-LIN-001","GPT55-SOL-ASHIRA-V3-STAGE0-3-20260718","0","Preserve exact public-v2 ancestry","Stage 0 Git lineage","Git branch ashira-v3-u32-128k-buildweek","commit tree tracked-manifest comparison","governance/SOL_STAGE0_SOURCE_LINEAGE_20260718.json","TESTED_STAGE_0","none for lineage"
"ASH-FR-ID-001","u32/128K directive","2","Use TokenId u32 end to end","typed token and codec modules","src/token.rs::TokenId;src/artifact.rs::Tokenizer;src/codec.rs::EncodedTokensV1;Tokenizer::encode;Tokenizer::decode","compile-time types boundary tests cross-u16 ID 65536 JSON round trip and 131072 rejection","governance/SOL_STAGE2A_TYPED_CORE_20260718.json;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","IMPLEMENTED_CURRENT_PATHS_COMMITTED_EVIDENCE_VERIFIED_STAGE3B3","future paths must retain TokenId"
"ASH-FR-ID-002","u32/128K directive","2","Accept 131072-entry target and reject 131073","checked target validator","src/token.rs::validate_vocab_target","named boundary tests","governance/SOL_STAGE2A_TYPED_CORE_20260718.json","TESTED_STAGE_2A","none for target maximum; D4 CLI does not accept a training target"
"ASH-FR-ID-003","u32/128K directive","2","Accept ID 131071 and reject 131072","operational ID validator","src/token.rs::validate_token_id","named boundary tests including u32::MAX","governance/SOL_STAGE2A_TYPED_CORE_20260718.json","TESTED_STAGE_2A","future readers must invoke validator"
"ASH-FR-ID-004","u32/128K directive","2","Checked ID allocation and conversion","typed allocation API","src/token.rs::allocate_token_id;token_id_to_index;src/lib.rs trainer integration","overflow conversion and old-u16-ceiling tests","governance/SOL_STAGE2A_TYPED_CORE_20260718.json","TESTED_STAGE_2A","transactional trainer/store redesign remains Stage 3"
"ASH-FR-PAIR-001","u32/128K directive","2","Pack two u32 halves into u64","central pair module","src/pair.rs::pack_pair;unpack_pair","boundary Cartesian round-trip collision and ordering fixtures","governance/SOL_STAGE2A_TYPED_CORE_20260718.json","TESTED_STAGE_2A","none for helper contract"
"ASH-FR-BASE-001","Stage 0-3 directive section 3.3","2","Canonical special bytes IDs 0-19","base vocabulary contract","src/token.rs::CANONICAL_SPECIAL_TOKENS;canonical_special_bytes;src/lib.rs::initialize_special_tokens;src/codec.rs::Tokenizer::decode","exact-byte canonical table trainer vocabulary and canonical alias decoder fixtures","governance/SOL_STAGE2B_SPECIAL_ALIAS_POLICY_20260719.json;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_THROUGH_STAGE3B3","none for canonical codec bytes; CLI integration pending"
"ASH-FR-BASE-002","Stage 0-3 directive section 3.3","2","Byte IDs 20-275 and learned start 276","base vocabulary initializer and codec","src/token.rs::base_byte_token;src/lib.rs::initialize_base_tokens;src/codec.rs::Tokenizer::encode;Tokenizer::decode","byte boundary checked allocation structural-byte codec and ranked-merge tests","governance/SOL_STAGE2A_TYPED_CORE_20260718.json;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_THROUGH_STAGE3B3","none for bounded codec ranges; CLI integration pending"
"ASH-FR-ALIAS-001","Stage 0-3 directive section 3.3 and Build Week D4","2-3","Encoder accepts locked aliases decoder emits canonical bytes","alias and codec policy reused by CLI","src/token.rs::SPECIAL_TOKEN_ALIASES;match_special_alias_prefix;src/codec.rs::Tokenizer::encode;Tokenizer::decode;EncodedTokensV1;src/cli.rs::execute_encode;execute_decode","longest-prefix shared-ID canonical-decoder canonical-document-hash and command round-trip tests","governance/SOL_STAGE2B_SPECIAL_ALIAS_POLICY_20260719.json;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","COMMITTED_CODEC_EVIDENCE_PLUS_LOCAL_CLI_82_OF_82","bundled alias/canonical command fixture and CLI evidence pending"
"ASH-FR-CODEC-001","Build Week demo pipeline directive D4 and preimplementation design report section 13","3","Deterministic bounded u32 encode and canonical fail-closed decode","immutable rank-aware codec through explicit CLI","src/codec.rs::Tokenizer::encode;Tokenizer::decode;MergeNode;MergeCandidate;src/presegment.rs::visit_lossless_presegments;src/cli.rs::execute_encode;execute_decode","rank priority leftmost stale-candidate structural CR LF non-UTF8 alias cross-u16 invalid-ID limit and command-byte-round-trip fixtures","governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","COMMITTED_CODEC_EVIDENCE_PLUS_LOCAL_CLI_82_OF_82","CLI commit/evidence and bundled demo fixture pending"
"ASH-FR-CODEC-002","Build Week demo pipeline directive D4","3","Stable schema-versioned hashable u32 encoded-token JSON","canonical bound document plus atomic JSON output","src/codec.rs::EncodedTokensV1;EncodedTokensWire;BoundedJsonWriter;ENCODED_TOKENS_SCHEMA;src/cli.rs::publish_output_atomic","canonical reserialization binding digest schema width count unknown-field malformed u32 range size foreign-tokenizer tamper A/B command bytes and output hash fixtures","governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","COMMITTED_CODEC_EVIDENCE_PLUS_LOCAL_ATOMIC_CLI_82_OF_82","CLI commit/evidence and bundled demo pending; no binary corpus format authorized"
"ASH-FR-ART-001","V3U32 format contract","2","Explicit typed artifact selection only","artifact API manifest-bound package resolver and exact CLI","src/artifact.rs::ArtifactFormat;inspect_artifact;load_tokenizer_package;src/publication.rs::load_v3_tokenizer_package;src/cli.rs::execute_encode;execute_decode","two-variant type review explicit/wrong selection mixed-format direct-artifact headerless directory/manifest reparse and command-level headerless rejection","governance/SOL_STAGE2C2_V3U32_HEADER_FOUNDATION_20260719.json;governance/SOL_STAGE2C4_PAIRED_ARTIFACT_LOADER_20260719.json SHA256 AB21F89A...AA5D3;governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9","MANIFEST_BOUND_V3_PACKAGE_AND_CLI_LOCAL_82_OF_82","candidate commit/evidence pending"
"ASH-FR-ART-002","V3U32 format contract","2","Strict read-only V2U16 widening","legacy package reader","src/artifact.rs::read_v2;parse_merge_records_u16;load_tokenizer_package;Tokenizer","malformed legacy fixtures exact widening paired reconstruction known ID/byte anchors and exhaustive lookup equality on tracked public-v2 32K","governance/SOL_STAGE2C4_PAIRED_ARTIFACT_LOADER_20260719.json SHA256 AB21F89A...AA5D3","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_STAGE_2C4","none for explicit V2U16 package loading; V2 writing remains forbidden"
"ASH-FR-ART-003","Stage 0-3 directive section 3.1","2","Implement locked 128-byte V3U32 header","V3 reader/writer","src/artifact.rs::ArtifactHeaderV3;read_v3;load_tokenizer_package;src/publication.rs::measure_v3_artifacts;write_v3_package","golden fixed-field stream-hash semantic paired mutation writer/readback and independent empty one cross-u16 complete-file vectors","governance/SOL_STAGE2C2_V3U32_HEADER_FOUNDATION_20260719.json;governance/SOL_STAGE2C4_PAIRED_ARTIFACT_LOADER_20260719.json;governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9","WRITER_AND_INDEPENDENT_BOUNDARY_VECTORS_COMMITTED_EVIDENCE_VERIFIED_STAGE_2C5","locked artifact contract unchanged; CLI integration pending"
"ASH-FR-ART-004","Stage 0-3 directive section 3.1","2","Validate payload sequence and manifest-declared complete-file digests","paired package validator and manifest-bound CLI resolver","src/artifact.rs::validate_paired_metadata;validate_reconstruction;load_tokenizer_package;src/publication.rs::ArtifactPackageManifestV1;verify_complete_file_hashes;load_v3_tokenizer_package;src/cli.rs::execute_encode;execute_decode","locked SHA-256 vectors semantic binding reconstruction mismatch manifest consistency writer rehash parity pre/post-load mismatch and command package use","governance/SOL_STAGE2C4_PAIRED_ARTIFACT_LOADER_20260719.json SHA256 AB21F89A...AA5D3;governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9","COMMITTED_READER_WRITER_EVIDENCE_PLUS_LOCAL_MANIFEST_CLI_82_OF_82","candidate commit/evidence pending"
"ASH-FR-ART-005","Stage 0-3 directive section 4 and GPT55 Stage 2C.5 ruling","2","Atomic bounded artifact publication","validated context canonical package manifest and package writer","src/publication.rs::PublicationContext;ArtifactPackageManifestV1;write_v3_package;PublishedPackage","context manifest streaming readback hashes manifest-last interruption corruption existing-final rename-race path-parity boundary-vector and runtime-reparse tests","governance/SOL_STAGE2C5_V3_PACKAGE_PUBLICATION_20260719.json SHA256 B36125D2...B14F65 commit 0bd850f8...ff7d9","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_WINDOWS_BOUNDED_STAGE_2C5","non-Windows no-replace primitive unresolved; Windows crash/power-loss durability and full cross-platform readiness unclaimed"
"ASH-FR-MAN-001","Stage 0-3 directive section 3.2 and Build Week D1","3","Manifest-only corpus authority","canonical composite-manifest parser admitted handles and trainer admission gate","src/manifest.rs::admit_corpus_manifest;AdmittedCorpus;src/lib.rs::TrainingFile::from_admitted;TokenizerTrainer::train_weighted","bounded canonical valid/invalid same-path admit-train-freeze and legacy-scanner-rejection fixtures","governance/SOL_STAGE3A_BOUNDED_MANIFEST_FREEZE_20260719.json SHA256 B5F36F26...8A6D53 commit 8322363b...e91d8","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_BOUNDED_STAGE3A","full composite manifest CLI input pending"
"ASH-FR-MAN-002","Stage 0-3 directive section 3.2 and Build Week D1","3","Require family root path enabled bytes dual hashes and encoding policy","private canonical wire schema validator","src/manifest.rs::ManifestWire;ManifestEntryWire;validate_manifest_wire;verify_declared_file","canonical root-set family size SHA-256 SHA-512 UTF-8 and mutation fixtures","governance/SOL_STAGE3A_BOUNDED_MANIFEST_FREEZE_20260719.json SHA256 B5F36F26...8A6D53 commit 8322363b...e91d8","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_BOUNDED_STAGE3A","production manifest generation and corpus-scale validation pending"
"ASH-FR-MAN-003","Stage 0-3 directive section 3.2 and Build Week D1","3","Reject path escape forms","normalized relative-path and containment validator","src/manifest.rs::validate_relative_path;normalized_relative_from_root;validate_roots;inventory_roots","traversal root-set inventory and canonical containment fixtures","governance/SOL_STAGE3A_BOUNDED_MANIFEST_FREEZE_20260719.json SHA256 B5F36F26...8A6D53 commit 8322363b...e91d8","IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_BOUNDED_STAGE3A","exhaustive platform path matrix pending"
"ASH-FR-MAN-004","Stage 0-3 directive section 3.2 and Build Week D1","3","Reject links mounts and reparse points","filesystem admission and repeated identity checks","src/manifest.rs::ensure_no_link_like_ancestors;metadata_is_link_like;verify_declared_file","live Windows reparse fixture and post-admission mutation fixture","governance/SOL_STAGE3A_BOUNDED_MANIFEST_FREEZE_20260719.json SHA256 B5F36F26...8A6D53 commit 8322363b...e91d8","PARTIAL_IMPLEMENTED_COMMITTED_EVIDENCE_VERIFIED_WINDOWS_BOUNDED_STAGE3A","stable Rust Windows identity is not a true volume/file index; hardlink alias and mount-point portability open"
"ASH-FR-PRE-001","preimplementation design report section 8 and Build Week D4","3","Share exact production pre-segmenter across training calibration probes and codec","versioned trainer and lossless codec visitors over one line-segment engine","src/presegment.rs::visit_presegments;visit_lossless_presegments;PRESEGMENTER_VERSION;src/lib.rs::TokenizerTrainer::train_weighted;src/codec.rs::Tokenizer::encode","exact byte trainer matrix lossless structural-byte reconstruction and codec integration tests","governance/SOL_STAGE3B2_BOUNDED_PRESEGMENTER_20260719.json SHA256 F6D68AB1...3C3A447 commit f70464f0...2c3020;governance/SOL_STAGE3B3_BOUNDED_CODEC_20260719.json SHA256 BB96E00A...20E82EF commit 70949771...5f605","PARTIAL_TRAINER_AND_CODEC_REUSE_COMMITTED_EVIDENCE_VERIFIED_THROUGH_STAGE3B3","calibration probes and chunked streaming/spill must reuse the module before closure"
"ASH-FR-CAL-001","GPT-55 pair-opportunity ruling","3","Use initial byte-pair opportunities","calibration report","src/calibration.rs","hand-calculated fixtures","pending Stage 3 transcript","PENDING","implementation absent"
"ASH-FR-CAL-002","balanced corpus policy and directive","3","Use checked integer weights and tolerance","fixed-point selector","src/calibration.rs","rounding tolerance overflow fixtures","pending Stage 3 transcript","PENDING","implementation absent"
"ASH-FR-STORE-001","Stage 0-3 directive section 3.5","3","Use deterministic in-repo StdShardStoreR1","shard store","src/store/shard.rs","bounded ordering/recovery fixtures","pending Stage 3 transcript","PENDING","implementation absent"
"ASH-FR-STORE-002","Stage 0-3 directive section 3.5","3","Journal snapshots and atomic publication","storage transaction protocol","src/store/shard.rs","interruption/recovery tests","pending Stage 3 transcript","PENDING","implementation absent"
