"component","requested_version","resolved_version","scope","license_policy","stage_reason","lockfile_state","verification_evidence","status","residual_gap"
"ashira_tokenizer_v3","0.1.0 retained pending release-version authority","0.1.0","project","Apache-2.0","v3 crate identity and package license metadata","root package depends on exact-pinned sha2 serde and serde_json; every locked package is listed below","Cargo.toml;Cargo.lock;LICENSE;governance/SOL_STAGE2A_TYPED_CORE_20260718.json","METADATA_IMPLEMENTED_STAGE_2A_DEPENDENCIES_RECONCILED_STAGE_2C5","release version and NOTICE determination pending"
"Rust standard library","rustc 1.94.0; cargo 1.94.0","rustc 1.94.0; cargo 1.94.0","runtime","Apache-2.0 OR MIT compatibility must be verified","core language filesystem buffered I/O and collections","not represented as crate dependency","Stage 2A closure transcript; operator-installed Clippy gate passed","TOOLCHAIN_RECORDED_LICENSE_PENDING","exact toolchain distribution license evidence pending"
"sha2","=0.11.0","0.11.0","runtime_direct_default_features_disabled","MIT OR Apache-2.0","SHA-256 now and SHA-512 in later package-manifest implementation","Cargo.lock checksum 446ba717...825f4","crates.io registry metadata; cargo metadata --locked --offline; cargo tree --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"block-buffer","transitive via digest","0.12.1","runtime_transitive","MIT OR Apache-2.0","SHA-2 block processing","Cargo.lock checksum d2f6c7db...660aa","cargo metadata --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"cfg-if","transitive via sha2","1.0.4","runtime_transitive","MIT OR Apache-2.0","conditional implementation selection","Cargo.lock checksum 9330f8b2...01801","cargo metadata --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"cpufeatures","transitive via sha2","0.3.0","runtime_transitive","MIT OR Apache-2.0","safe CPU feature selection for SHA-2 implementation","Cargo.lock checksum 8b2a4139...d201","cargo metadata --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"crypto-common","transitive via digest","0.2.2","runtime_transitive","MIT OR Apache-2.0","cryptographic trait and type support","Cargo.lock checksum ce6e4c96...1453","cargo metadata --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"digest","transitive via sha2","0.11.3","runtime_transitive","MIT OR Apache-2.0","digest trait and fixed-output support","Cargo.lock checksum f1dd6dbb...d5c2","cargo metadata --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"hybrid-array","transitive via block-buffer and crypto-common","0.4.13","runtime_transitive","MIT OR Apache-2.0","fixed-size array support","Cargo.lock checksum 818356c5...c8c","cargo metadata --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"libc","target-specific transitive via cpufeatures","0.2.186","runtime_transitive_target_specific","MIT OR Apache-2.0","platform CPU feature support; locked and fetched though absent from current Windows normal-edge tree","Cargo.lock checksum 68ab9101...e66","cargo metadata --locked --offline; cargo tree --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"typenum","transitive via hybrid-array","1.20.1","runtime_transitive","MIT OR Apache-2.0","compile-time array length support","Cargo.lock checksum b6f5e870...da20","cargo metadata --locked --offline","RESOLVED_STAGE_2C2","release-package attribution assembly pending"
"serde","=1.0.229 default-features=false features=derive,std","1.0.229","runtime_direct","MIT OR Apache-2.0","validated PublicationContext and fixed-struct deterministic package manifest serialization","Cargo.lock checksum 4148590a...e0ba","crates.io registry metadata; cargo metadata --locked --offline; cargo tree --locked --offline; crate license files","RESOLVED_STAGE_2C5_CONTEXT_MANIFEST","release-package attribution assembly pending"
